"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL134C",235.411809563913,1.56119083715895,0.103046824684644,15.1503051349393,7.54156512197393e-52,2.72863528711419e-50
"YHR136C",74.5473132762042,4.44913557386819,0.296341605113091,15.0135367329549,5.98684916828426e-51,2.10458157978265e-49
"YDR011W",291.724448266432,1.36028193890807,0.0925910506417596,14.6912895952665,7.3305293661279e-49,2.53374218928678e-47
"YKL109W",202.283875198947,1.67731521766643,0.115361183766086,14.5396845187326,6.79048757278342e-48,2.30839267103357e-46
"YJL078C",395.869205243443,1.13336191727563,0.0789426147771923,14.356782081192,9.66098471074314e-47,3.24850610898738e-45
"YLR264W",178.07427478571,1.73222919338701,0.121600268199251,14.2452744474924,4.79659874682095e-46,1.5955137874506e-44
"YCL064C",406.927886476366,1.08663232503107,0.0774933521813259,14.0222650646015,1.13919832055344e-44,3.7292169361186e-43
"YGR055W",290.719045401595,1.2981673044994,0.0933228517983836,13.9104975842785,5.46975956484397e-44,1.77180117422459e-42
"YLR438W",95.1510159193427,2.46592821082521,0.178149067543704,13.8419372316965,1.42318704032763e-43,4.56230995777568e-42
"YDR277C",192.667335043046,1.57958537632469,0.115358862972893,13.6927959899871,1.12110797363642e-42,3.57540981076729e-41
"YEL046C",454.655775844208,1.00362777662659,0.0733441423819819,13.6838163762229,1.26855993148237e-42,4.02491297234944e-41
"YDL124W",411.781903404305,1.06883827470783,0.0788497646208994,13.5553768593562,7.36330050335054e-42,2.26650448827014e-40
"YOR197W",353.969561391311,1.10464736769486,0.0824714353774315,13.3943026775202,6.52863324187631e-41,1.9897859048024e-39
"YKL029C",166.582053376649,1.65576344216532,0.123694425342192,13.3859180604523,7.30886464921803e-41,2.21666399925058e-39
"YNR050C",241.836242498035,1.34804031364401,0.101216661934084,13.3183636753592,1.8103184026803e-40,5.384826902588e-39
"YHR025W",390.546131829778,1.07032697236958,0.0804363283581676,13.3065120476859,2.1215719344098e-40,6.28046198956624e-39
"YNL300W",119.680925863243,1.93533927644246,0.146369545227733,13.222281133902,6.52544724549144e-40,1.89544329144862e-38
"YKR058W",223.18897172526,1.36513985146823,0.10409575777591,13.1142697900044,2.72797064005669e-39,7.88689455608913e-38
"YER001W",96.9116212585844,2.22433499099748,0.170353992229117,13.0571345108594,5.78651318894061e-39,1.66517009767328e-37
"YMR006C",179.302473628079,1.53022338897812,0.117410216090169,13.0331366378112,7.92802537452554e-39,2.27086541630507e-37
