YDL189W	97	103	100	216	198	242
YDL188C	80	77	71	171	206	173
YDL187C	0	0	0	1	0	0
YDL186W	10	11	15	30	21	33
YDL185C-A	1	1	2	1	0	4
YDL185W	753	754	715	1305	1308	1329
YDL184C	354	328	326	1000	942	974
YDL183C	6	7	12	50	29	31
YDL182W	289	255	263	194	179	206
YDL181W	40	33	22	70	87	72
YDL180W	53	74	60	129	126	168
YDL179W	14	16	17	46	47	41
YDL178W	73	85	82	171	164	161
YDL177C	26	15	16	61	67	61
YDL176W	35	26	21	83	70	83
YDL175C	38	24	26	76	86	65
YDL174C	206	179	203	476	476	485
YDL173W	85	57	61	175	192	178
YDL172C	0	0	0	0	0	0
YDL171C	287	332	333	560	546	502
YDL170W	52	63	38	65	98	91
YDL169C	25	24	23	91	76	73
YDL168W	92	101	101	152	173	160
YDL167C	42	39	36	37	38	30
YDL166C	43	52	48	115	128	145
YDL165W	46	26	29	69	72	69
YDL164C	40	51	44	99	102	87
YDL163W	0	0	0	0	0	0
YDL162C	0	1	0	0	2	0
YDL161W	158	152	174	366	335	340
YDL160C-A	21	20	16	24	33	38
YDL160C	123	106	107	142	144	132
YDL159W-A	0	0	0	0	1	0
YDL159W	20	23	24	66	59	60
YDL159C-B	0	0	0	0	0	0
YDL158C	5	4	5	18	25	20
YDL157C	42	35	32	143	133	155
YDL156W	9	21	19	34	22	27
YDL155W	56	60	51	191	176	183
YDL154W	14	8	6	13	20	8
YDL153C	117	91	114	171	153	158
YDL152W	0	0	0	0	0	0
YDL151C	1	0	0	1	2	0
YDL150W	20	34	25	59	54	49
YDL149W	47	37	44	96	96	81
YDL148C	54	46	49	109	120	93
YDL147W	177	174	189	495	475	526
YDL146W	69	54	50	92	85	99
YDL145C	403	390	357	722	687	691
YDL144C	105	110	104	212	213	225
YDL143W	358	387	331	529	488	479
YDL142C	23	22	27	89	77	77
YDL141W	61	57	46	138	135	110
YDL140C	600	586	565	813	806	849
YDL139C	20	17	24	59	53	53
YDL138W	55	67	54	122	98	123
YDL137W	304	310	305	838	885	852
YDL136W	204	201	186	313	311	314
YDL135C	64	52	45	147	152	150
YDL134C	190	170	195	345	354	340
YDL133C-A	291	284	289	593	648	613
YDL133W	49	45	60	140	135	168
YDL132W	169	156	157	382	376	368
YDL131W	131	153	126	243	261	230
YDL130W-A	55	42	59	123	119	116
YDL130W	1019	933	925	1938	1850	1901
YDL129W	6	7	10	23	18	19
YDL128W	141	129	154	336	347	340
YDL127W	14	7	16	72	65	57
YDL126C	1350	1331	1325	2197	2215	2148
YDL125C	257	249	245	608	560	584
YDL124W	341	396	374	400	421	401
YDL123W	44	56	42	109	92	93
YDL122W	116	120	123	237	265	214
YDL121C	41	41	42	154	152	121
YDL120W	58	54	57	95	104	116
YDL119C	15	20	18	65	50	75
YDL118W	0	0	1	3	7	4
YDL117W	44	50	40	148	157	156
YDL116W	48	58	43	128	125	117
YDL115C	43	36	46	136	134	120
YDL114W-A	1	0	0	1	1	2
YDL114W	1	0	1	2	4	0
YDL113C	46	67	52	151	168	150
YDL112W	59	56	49	115	111	122
YDL111C	52	46	46	105	91	89
YDL110C	296	237	244	522	498	484
YDL109C	17	22	17	39	30	42
YDL108W	35	31	33	65	62	68
YDL107W	19	19	21	57	51	61
YDL106C	67	58	65	160	148	138
YDL105W	15	12	13	33	26	38
YDL104C	18	17	13	36	33	29
YDL103C	65	64	65	155	161	152
YDL102W	39	40	44	90	74	86
YDL101C	30	22	23	49	61	67
YDL100C	337	319	324	632	659	630
YDL099W	85	87	82	251	253	248
YDL098C	8	7	8	44	31	39
YDL097C	352	365	330	741	698	696
YDL096C	0	0	0	0	0	0
YDL095W	215	226	234	467	488	446
YDL094C	2	0	0	4	7	10
YDL093W	50	49	39	107	117	95
YDL092W	63	66	75	149	152	154
YDL091C	32	43	37	118	115	94
YDL090C	47	24	38	101	100	81
YDL089W	27	26	30	88	81	78
YDL088C	63	61	61	167	177	169
YDL087C	24	29	29	65	69	61
YDL086W	66	76	81	139	101	157
YDL086C-A	0	0	0	0	0	0
YDL085C-A	21	17	26	78	77	68
YDL085W	6	7	6	29	35	34
YDL084W	422	400	415	857	875	904
YDL083C	920	864	914	1328	1287	1318
YDL082W	557	545	505	1038	1084	1057
YDL081C	834	718	734	1634	1712	1617
YDL080C	45	70	64	116	101	122
YDL079C	96	94	119	171	180	166
YDL078C	242	236	246	480	507	480
YDL077C	40	31	49	83	94	102
YDL076C	50	59	49	151	142	137
YDL075W	1009	983	966	1809	1954	1758
snR63	8	6	11	28	25	16
YDL074C	53	51	64	223	220	203
YDL073W	46	54	65	141	132	122
YDL072C	249	227	227	644	635	640
YDL071C	4	2	5	5	7	6
YDL070W	138	128	132	279	322	312
